운동명,단위체중당에너지소비량,감정매핑,운동목적
풋살,8.0,"활력, 설렘","체력 향상, 체중감량"
족구,5.5,"활력, 기쁨","체력 향상, 스트레스 해소"
에어로빅,6.0,"활력, 기쁨","체력 향상, 체중감량"
수상스키,6.0,"설렘, 활력","체력 향상, 체중감량"
야구피칭,6.0,"활력, 자신감","체력 향상, 체중감량"
수영(자유영),6.1,"설렘, 활력","체력 향상, 체중감량"
자유수영,6.0,"차분함, 만족","체력 향상, 스트레스 해소"
빠르게 걷기,6.0,"활력, 만족","체력 향상, 체중감량"
모래주머니 차고 걷기,6.8,"활력, 자신감","체력 향상, 체중감량"
속보,6.0,"활력, 설렘","체력 향상, 체중감량"
권투펀칭,6.0,"분노, 활력","체력 향상, 체중감량"
댄스(고강도),7.0,"기쁨, 활력","체력 향상, 체중감량"
등산,7.0,"활력, 만족","체력 향상, 체중감량"
달리기,7.0,"활력, 설렘","체력 향상, 체중감량"
고정식자전거타기(30~50 Watts),3.5,"활력, 만족","체력 향상, 스트레스 해소"
고정식자전거타기(90~100 Watts),6.8,"활력, 설렘","체력 향상, 체중감량"
고정식자전거타기(161~200 Watts),11.0,"활력, 자신감","체중감량, 체력 향상"
고정식자전거타기(약하게),5.5,"만족, 활력","체력 향상, 스트레스 해소"
자전거타기,7.0,"활력, 설렘","체중감량, 체력 향상"
실내자전거타기(약하게),5.5,"만족, 활력","체력 향상, 스트레스 해소"
축구연습,7.0,"활력, 설렘","체력 향상, 체중감량"
조깅,7.0,"활력, 만족","체력 향상, 체중감량"
런닝,7.0,"활력, 설렘","체중감량, 체력 향상"
스피닝,9.0,"활력, 설렘","체력 향상, 체중감량"
서키트 트레이닝(격렬하게),8.0,"자신감, 활력","체력 향상, 체중감량"
수영(배영),8.0,"활력, 차분함","체력 향상, 체중감량"
배구시합,8.0,"활력, 설렘","체력 향상, 체중감량"
아이스하키,8.0,"활력, 설렘","체력 향상, 체중감량"
농구시합,8.0,"활력, 설렘","체력 향상, 스트레스 해소"
줄넘기(빠르게),9.0,"활력, 설렘","체력 향상, 체중감량"
축구시합,10.0,"활력, 설렘","체력 향상, 스트레스 해소"
라켓볼 시합,10.0,"활력, 설렘","체력 향상, 체중감량"
하프마라톤,9.0,"활력, 자신감","체력 향상, 체중감량"
킥복싱,10.0,"설렘, 분노 해소","체력 향상, 스트레스 해소"
암벽등반,11.0,"설렘, 자신감","체력 향상, 체중감량"
수영(접영),11.0,"설렘, 활력","체력 향상, 체중감량"
산악자전거(격렬하게),14.0,"활력, 설렘","체력 향상, 체중감량"
BMX 자전거타기,8.5,"활력, 설렘","체력 향상, 체중감량"
"캠프 단체훈련(예, 해병대 캠프 등)",5.0,"활력, 자신감","체력 향상, 체중감량"
파워워킹,6.0,"활력, 만족","체력 향상, 체중감량"
모던댄스,4.8,"기쁨, 활력","체력 향상, 스트레스 해소"
트래킹,5.0,"활력, 만족","체력 향상, 스트레스 해소"
뛰기,7.0,"활력, 설렘","체력 향상, 체중감량"
고정식자전거타기(보통으로),7.0,"활력, 만족","체력 향상, 체중감량"
고정식자전거타기(51~89 Watts),4.8,"활력, 만족","체력 향상, 스트레스 해소"
고정식자전거타기(101~160 Watts),8.8,"활력, 설렘","체력 향상, 체중감량"
고정식자전거타기(201~270 Watts),14.0,"활력, 자신감","체력 향상, 체중감량"
실내자전거타기,7.0,"활력, 만족","체력 향상, 체중감량"
라켓볼연습,7.0,"활력, 집중","체력 향상, 체중감량"
축구 프리킥 차기,7.0,"활력, 자신감","체력 향상, 체중감량"
비치발리볼,8.0,"활력, 기쁨","체력 향상, 체중감량"
맨손 줄넘기,7.0,"활력, 만족","체력 향상, 체중감량"
줄넘기(천천히),8.0,"차분함, 만족","체력 향상, 스트레스 해소"
산악자전거(보통으로),8.5,"활력, 만족","체력 향상, 체중감량"
프리스비 얼티메이트,8.0,"활력, 설렘","체력 향상, 체중감량"
마라톤,9.0,"활력, 자신감","체력 향상, 체중감량"
태권도,10.0,"설렘, 자신감","체력 향상, 체중감량"
스쿼시,12.0,"활력, 설렘","체력 향상, 체중감량"
산악자전거 시합,16.0,"활력, 설렘","체력 향상, 체중감량"
"건강증진 비디오 게임 격렬하게(예, 위피트 등)",7.2,"활력, 기쁨","체력 향상, 체중감량"
커브스 30분 여성 순환운동,3.5,"활력, 만족","체력 향상, 스트레스 해소"
팔굽혀펴기(가볍게),3.0,"활력, 집중","체력 향상, 스트레스 해소"
팔굽혀펴기(보통으로),5.0,"자신감, 활력","체력 향상, 체중감량"
푸쉬업(보통으로),5.0,"자신감, 활력","체력 향상, 체중감량"
니킥,5.5,"활력, 설렘","체력 향상, 체중감량"
런지(격렬하게),8.0,"자신감, 활력","체력 향상, 체중감량"
사이드 런지,5.5,"활력, 집중","체력 향상, 체중감량"
윗몸일으키기(보통으로),3.8,"활력, 만족","체력 향상, 스트레스 해소"
복근운동(가볍게),2.8,"만족, 차분함","스트레스 해소, 체형 교정"
복근운동(격렬하게),8.0,"자신감, 활력","체력 향상, 체중감량"
크런치(보통으로),5.0,"활력, 집중","체력 향상, 체중감량"
점프 스쿼트,6.0,"활력, 설렘","체력 향상, 체중감량"
코어운동,4.5,"집중, 차분함","체력 향상, 스트레스 해소"
렛풀다운,5.0,"자신감, 활력","체력 향상, 체중감량"
헬스(보통으로),5.5,"활력, 만족","체력 향상, 스트레스 해소"
근력운동(전신),5.5,"자신감, 활력","체력 향상, 체중감량"
하체 근력운동,5.0,"자신감, 활력","체력 향상, 체중감량"
웨이트운동(격렬하게) - 전신,6.0,"자신감, 활력","체력 향상, 체중감량"
저항성운동(격렬하게) - 전신,6.0,"자신감, 활력","체력 향상, 체중감량"
저항성운동(보통으로) - 전신,5.0,"활력, 만족","체력 향상, 스트레스 해소"
보디빌딩(보통으로),5.0,"자신감, 활력","체력 향상, 체중감량"
바벨 숄더프레스,5.5,"자신감, 활력","체력 향상, 체중감량"
브릿지,3.5,"차분함, 만족","체형 교정, 스트레스 해소"
리버스 컬,5.0,"활력, 집중","체력 향상, 체중감량"
턱걸이(가볍게),3.0,"자신감, 활력","체력 향상, 스트레스 해소"
턱걸이(격렬하게),8.0,"자신감, 활력","체력 향상, 체중감량"
풀업(격렬하게) - 상지(어깨),8.0,"자신감, 활력","체력 향상, 체중감량"
서키트 트레이닝(보통으로),4.3,"활력, 설렘","체력 향상, 체중감량"
트램폴린(레크레이션적인),3.5,"기쁨, 설렘","스트레스 해소, 체력 향상"
트램폴린(경쟁적인),4.5,"활력, 설렘","체력 향상, 체중감량"
타바타 운동,8.0,"활력, 설렘","체력 향상, 체중감량"
발레(일반적인),5.0,"차분함, 만족","체력 향상, 체형 교정"
발레(격렬하게),6.8,"활력, 설렘","체력 향상, 체중감량"
점핑운동(레크레이션적인),3.5,"활력, 기쁨","체력 향상, 스트레스 해소"
점핑운동(경쟁적인),4.5,"활력, 설렘","체력 향상, 체중감량"
검도,6.0,"집중, 활력","체력 향상, 체중감량"
펜싱,6.0,"집중, 설렘","체력 향상, 체중감량"
암워킹,6.0,"활력, 차분함","체력 향상, 체중감량"
런닝머신(걷기),4.5,"차분함, 활력","체력 향상, 스트레스 해소"
승마운동기구,5.0,"차분함, 설렘","체력 향상, 스트레스 해소"
시티드 로우,5.0,"활력, 자신감","체력 향상, 체중감량"
국선도,4.5,"차분함, 만족","스트레스 해소, 체형 교정"
양팔줄당기기(야외운동기구),2.5,"활력, 자신감","체력 향상, 스트레스 해소"
근력운동,8.0,"자신감, 활력","체력 향상, 체중감량"
원 암 덤벨로우,5.0,"활력, 집중","체력 향상, 체중감량"
필라테스(기구),5.0,"차분함, 만족","체형 교정, 스트레스 해소"
슬로우버피(일반적인),5.5,"활력, 설렘","체력 향상, 체중감량"
풀 스쿼트,6.0,"자신감, 활력","체력 향상, 체중감량"
복근운동(보통으로),3.8,"활력, 집중","체력 향상, 체중감량"
이클립스,7.0,"활력, 설렘","체력 향상, 체중감량"
워킹,4.5,"차분함, 만족","체력 향상, 스트레스 해소"
헬스(가볍게),5.0,"활력, 만족","체력 향상, 스트레스 해소"
디스코 댄스,7.8,"기쁨, 활력","체력 향상, 체중감량"
줌바댄스,5.0,"기쁨, 설렘","스트레스 해소, 체력 향상"
상체 근력운동,5.5,"자신감, 활력","체력 향상, 체중감량"
유도,10.0,"집중, 활력","체력 향상, 체중감량"
"건강증진 비디오 게임 보통으로(예, 위피트 등)",3.8,"기쁨, 활력","체력 향상, 스트레스 해소"
배드민턴 시합,7.0,"활력, 설렘","체력 향상, 체중감량"
고정식자전거(격렬하게),10.5,"활력, 설렘","체력 향상, 체중감량"
런지(가볍게),2.8,"활력, 만족","체력 향상, 스트레스 해소"
스쿠버 다이빙,6.0,"설렘, 차분함","체력 향상, 스트레스 해소"
복싱,7.8,"활력, 분노 해소","체력 향상, 체중감량"
트위스트 런,5.0,"활력, 설렘","체력 향상, 체중감량"
걷기(산책수준),3.0,"차분함, 만족","스트레스 해소, 체형 교정"
워킹런지,5.5,"활력, 만족","체력 향상, 스트레스 해소"
공중걷기,3.5,"설렘, 활력","체력 향상, 스트레스 해소"
프롭테라피,3.8,"차분함, 만족","체형 교정, 스트레스 해소"
박스점프,5.5,"활력, 설렘","체력 향상, 체중감량"
암풀다운,4.0,"활력, 자신감","체력 향상, 체중감량"
시티드로우,4.0,"활력, 자신감","체력 향상, 체중감량"
스텝밀,7.0,"활력, 설렘","체력 향상, 체중감량"
덤벨 바디 로테이션,5.0,"활력, 집중","체력 향상, 체중감량"
트라이셉스 푸시 다운,5.0,"활력, 자신감","체력 향상, 체중감량"
뒤로 걷기,3.0,"차분함, 활력","체력 향상, 스트레스 해소"
수영(평영),5.3,"차분함, 활력","체력 향상, 스트레스 해소"
실내 스케이팅,7.0,"설렘, 활력","체력 향상, 체중감량"
제자리 걷기,2.0,"차분함, 만족","스트레스 해소, 체형 교정"
레그 익스텐션,5.0,"활력, 자신감","체력 향상, 체중감량"
이두 컬,5.0,"활력, 자신감","체력 향상, 체중감량"
해머 컬,5.0,"활력, 자신감","체력 향상, 체중감량"
덩키킥,7.0,"활력, 설렘","체력 향상, 체중감량"
허리돌리기(야외운동기구),2.5,"차분함, 만족","스트레스 해소, 체형 교정"
팔돌리기(야외운동기구),2.5,"활력, 만족","체력 향상, 스트레스 해소"
등허리지압기(야외운동기구),2.5,"차분함, 만족","스트레스 해소, 체형 교정"
크로스 핏,8.0,"활력, 자신감","체력 향상, 체중감량"
마운팅클라이밍,7.0,"설렘, 활력","체력 향상, 체중감량"
음파진동기,2.5,"차분함, 만족","스트레스 해소, 체형 교정"
와이드 스쿼트,5.5,"활력, 자신감","체력 향상, 체중감량"
배구연습(일반적인),4.0,"활력, 설렘","체력 향상, 스트레스 해소"
폼롤러,3.0,"차분함, 만족","스트레스 해소, 체형 교정"
인클라인 벤치 프레스,5.0,"활력, 자신감","체력 향상, 체중감량"
스탠딩 카프 레이즈,5.0,"활력, 만족","체력 향상, 스트레스 해소"
백 익스텐션,3.5,"차분함, 활력","체력 향상, 스트레스 해소"
버티기,1.0,"집중, 활력","체력 향상, 체형 교정"
할로우 보디홀드,3.0,"집중, 차분함","스트레스 해소, 체형 교정"
천국의계단,8.0,"활력, 설렘","체력 향상, 체중감량"
홈트레이닝-유산소운동,7.0,"활력, 만족","체력 향상, 체중감량"
프리테니스,7.0,"활력, 설렘","체력 향상, 체중감량"
렛 풀 다운,5.0,"활력, 자신감","체력 향상, 체중감량"
게이트볼,3.0,"차분함, 만족","스트레스 해소, 체형 교정"
킥 백,5.0,"활력, 설렘","체력 향상, 체중감량"
사이드 밴드,3.5,"활력, 집중","체력 향상, 체형 교정"
사이드 크런치,4.0,"활력, 집중","체력 향상, 체중감량"
산악mtB,8.0,"활력, 설렘","체력 향상, 체중감량"
벤트 오버 레터럴 레이즈,5.5,"활력, 자신감","체력 향상, 체중감량"
밸리댄스,4.5,"기쁨, 설렘","스트레스 해소, 체력 향상"
(윈드)서핑,5.0,"설렘, 활력","체력 향상, 스트레스 해소"
버피테스트,83.0,"활력, 자신감","체력 향상, 체중감량"
덤벨 프레스,5.0,"활력, 자신감","체력 향상, 체중감량"
방송댄스,7.0,"기쁨, 설렘","체력 향상, 스트레스 해소"
리버스 팩 덱 플라이,4.0,"활력, 자신감","체력 향상, 체중감량"
슈퍼맨자세,5.0,"활력, 차분함","체력 향상, 스트레스 해소"
조정(로잉머신),4.8,"활력, 집중","체력 향상, 체중감량"
"주짓수_시합, 격렬하게",10.3,"활력, 자신감","체력 향상, 체중감량"
국민체조,3.5,"차분함, 활력","체력 향상, 스트레스 해소"
파크골프,4.3,"차분함, 만족","스트레스 해소, 체력 향상"
어시스트 풀업,5.0,"자신감, 활력","체력 향상, 체중감량"
스포츠클라이밍,7.0,"설렘, 활력","체력 향상, 체중감량"
인터벌 런닝,8.0,"활력, 설렘","체력 향상, 체중감량"
수영(IM),8.0,"설렘, 활력","체력 향상, 체중감량"
힙 어브덕션,5.0,"활력, 집중","체력 향상, 체중감량"
점프 버피테스트,8.5,"활력, 설렘","체력 향상, 체중감량"
행잉 레그레이즈,10.0,"활력, 집중","체력 향상, 체중감량"
세라밴드,3.5,"활력, 만족","체력 향상, 스트레스 해소"
마운틴 클라이머,7.0,"활력, 설렘","체력 향상, 체중감량"
슬릭부스트,7.0,"활력, 설렘","체력 향상, 체중감량"
랫플다운,4.0,"활력, 자신감","체력 향상, 체중감량"
팔굽혀매달리기,5.0,"활력, 자신감","체력 향상, 체중감량"
폴댄스,5.5,"기쁨, 설렘","체력 향상, 스트레스 해소"
태보,7.0,"활력, 설렘","체력 향상, 체중감량"
레그 레이즈,3.4,"활력, 집중","체력 향상, 체형 교정"
오리발 수영,7.0,"설렘, 활력","체력 향상, 체중감량"
벤트 오버 바벨 로우,5.5,"활력, 자신감","체력 향상, 체중감량"
제기차기,3.0,"활력, 설렘","체력 향상, 스트레스 해소"
플라잉 요가,4.0,"차분함, 설렘","스트레스 해소, 체형 교정"
리어델트 머신,5.0,"활력, 자신감","체력 향상, 체중감량"
케이블 크로스 오버,5.0,"활력, 자신감","체력 향상, 체중감량"
맨발걷기,4.5,"차분함, 만족","스트레스 해소, 체형 교정"
씨름,6.0,"활력, 자신감","체력 향상, 체중감량"
플랭크,3.8,"집중, 차분함","체형 교정, 스트레스 해소"
레그 컬,5.0,"활력, 집중","체력 향상, 체중감량"
루마니안 데드리프트,5.0,"활력, 자신감","체력 향상, 체중감량"
앉아서 다리들기,2.5,"차분함, 집중","체형 교정, 스트레스 해소"
런닝머신(빠르게걷기),6.0,"활력, 만족","체력 향상, 체중감량"
레터럴 레이즈,5.0,"활력, 자신감","체력 향상, 체중감량"
승마(천천히),3.8,"차분함, 만족","스트레스 해소, 체형 교정"
승마(빠르게),5.8,"활력, 설렘","체력 향상, 체중감량"
타바타운동,9.0,"활력, 설렘","체력 향상, 체중감량"
마이마운틴,5.5,"활력, 설렘","체력 향상, 체중감량"
로드자전거(중강도),8.0,"활력, 설렘","체력 향상, 체중감량"
누워서 걷기,3.5,"차분함, 만족","스트레스 해소, 체형 교정"
테스트(중구보건소),13.0,"차분함, 만족","체중감량, 스트레스 해소"
W익스텐션,4.0,"활력, 자신감","체력 향상, 체중감량"
킥복싱,5.0,"활력, 설렘","체력 향상, 체중감량"
백 스쿼트,6.0,"자신감, 활력","체력 향상, 체중감량"
15초인터벌트레이닝!,8.8,"활력, 설렘","체력 향상, 체중감량"
스쿼트 덤벨 프레스,7.0,"활력, 자신감","체력 향상, 체중감량"
고전무용,6.0,"차분함, 만족","스트레스 해소, 체력 향상"
평행봉,5.5,"활력, 자신감","체력 향상, 체중감량"
스티프 레그 데드리프트,8.0,"활력, 자신감","체력 향상, 체중감량"
수중 걷기,3.5,"차분함, 만족","스트레스 해소, 체형 교정"
덤벨 숄더프레스,5.5,"활력, 자신감","체력 향상, 체중감량"
철봉매달리기,3.8,"활력, 자신감","체력 향상, 체형 교정"
트라이셉스 익스텐션,5.0,"활력, 자신감","체력 향상, 체중감량"
펙덱 플라이,5.5,"활력, 자신감","체력 향상, 체중감량"
벤치 프레스,5.0,"활력, 자신감","체력 향상, 체중감량"
스케이팅,7.0,"설렘, 활력","체력 향상, 체중감량"
짐볼운동,3.8,"차분함, 만족","체력 향상, 스트레스 해소"
108배,2.0,"차분함, 만족","스트레스 해소, 체형 교정"
덤벨 플라이,5.5,"활력, 자신감","체력 향상, 체중감량"
버피테스트,7.0,"활력, 자신감","체력 향상, 체중감량"
"주짓수_훈련, 연습",5.3,"활력, 자신감","체력 향상, 체중감량"
패들보드,6.0,"설렘, 차분함","체력 향상, 스트레스 해소"
국궁,4.3,"집중, 차분함","체력 향상, 스트레스 해소"
기체조,4.5,"활력, 만족","체력 향상, 스트레스 해소"
러시안트위스트,4.0,"활력, 집중","체력 향상, 체중감량"
일립티컬,6.0,"활력, 설렘","체력 향상, 체중감량"
크로스 크런치,4.5,"활력, 집중","체력 향상, 체중감량"
아쉬탕가 요가,5.0,"차분함, 활력","체력 향상, 스트레스 해소"
슈퍼맨로우,4.0,"활력, 차분함","체력 향상, 스트레스 해소"
딥스,5.5,"활력, 자신감","체력 향상, 체중감량"
악력기 운동,1.3,"활력, 집중","체력 향상, 스트레스 해소"
버드독,3.8,"차분함, 집중","체형 교정, 스트레스 해소"
컨벤셔널 데드리프트,8.0,"활력, 자신감","체력 향상, 체중감량"
탁구시합,5.0,"활력, 설렘","체력 향상, 스트레스 해소"
EMS트레이닝,7.0,"활력, 설렘","체력 향상, 체중감량"
데드버그,4.0,"차분함, 집중","체력 향상, 체형 교정"
인라인스케이트,5.0,"설렘, 활력","체력 향상, 체중감량"
사이드 플랭크,3.8,"차분함, 집중","체형 교정, 스트레스 해소"
고블릿 스쿼트,5.5,"활력, 자신감","체력 향상, 체중감량"
AB 롤아웃,8.0,"활력, 집중","체력 향상, 체중감량"
SNPE,5.0,"차분함, 만족","체력 향상, 스트레스 해소"
로드바이크,8.5,"활력, 설렘","체력 향상, 체중감량"
플로터킥,5.0,"활력, 설렘","체력 향상, 체중감량"
사이드 레그레이즈,4.0,"활력, 집중","체력 향상, 체중감량"
벽 스쿼트,5.0,"활력, 집중","체력 향상, 체중감량"
TRX 운동,7.0,"활력, 집중","체력 향상, 체중감량"
월볼샷,6.0,"활력, 설렘","체력 향상, 체중감량"
시티드 니업,5.0,"활력, 집중","체력 향상, 체중감량"
데드 리프트,5.5,"활력, 자신감","체력 향상, 체중감량"
벤치딥스,3.0,"활력, 자신감","체력 향상, 체중감량"
고양이자세,3.5,"차분함, 만족","스트레스 해소, 체형 교정"
프론트 풀다운,4.0,"활력, 자신감","체력 향상, 체중감량"
픽시자전거,8.0,"활력, 만족","체력 향상, 체중감량"
노르딕워킹,6.0,"활력, 만족","체력 향상, 체중감량"
난타,3.8,"활력, 설렘","체력 향상, 스트레스 해소"
프론트 레이즈,5.0,"활력, 자신감","체력 향상, 체중감량"
사이드 레터럴 레이즈,5.0,"활력, 자신감","체력 향상, 체중감량"
제자리 걷기,2.0,"차분함, 만족","스트레스 해소, 체형 교정"
필라테스,3.0,"차분함, 만족","스트레스 해소, 체형 교정"
양팔벌려 제자리 뛰기(PT체조),3.0,"활력, 설렘","체력 향상, 스트레스 해소"
정구 단식경기(일반적인),7.0,"활력, 설렘","체력 향상, 체중감량"
정구 복식경기,5.0,"활력, 설렘","체력 향상, 체중감량"
(SUP)서핑,6.0,"설렘, 활력","체력 향상, 체중감량"
딥다라인 댄스,3.0,"기쁨, 활력","체력 향상, 스트레스 해소"
로우,5.0,"활력, 집중","체력 향상, 체중감량"
풀업(턱걸이),5.0,"자신감, 활력","체력 향상, 체중감량"
레그 킥 백,5.0,"활력, 설렘","체력 향상, 체중감량"
프리다이빙,7.0,"설렘, 차분함","체력 향상, 스트레스 해소"
힙 쓰러스트,6.0,"활력, 자신감","체력 향상, 체중감량"
스플릿 스쿼트,5.0,"활력, 자신감","체력 향상, 체중감량"
새천년체조,3.5,"차분함, 활력","체력 향상, 스트레스 해소"
훌라후프,4.0,"기쁨, 활력","체력 향상, 스트레스 해소"
번지피지오,5.0,"설렘, 활력","체력 향상, 체중감량"
wty운동,7.0,"활력, 설렘","체력 향상, 체중감량"
스텝퍼,5.0,"활력, 설렘","체력 향상, 체중감량"
